timestamp,log_type,message,stacktrace
0,Warning,You are trying to create a MonoBehaviour using the 'new' keyword.  This is not allowed.  MonoBehaviours can only be added using AddComponent(). Alternatively your script can inherit from ScriptableObject or no base class at all,UnityEngine.MonoBehaviour:.ctor ().  ExperimentGenerator:.ctor () (at Assets/Scripts/Core/ExperimentGenerator.cs:15).  ExperimentController:Start () (at Assets/Scripts/Core/ExperimentController.cs:54).  
0,Warning,A Canvas named "[UXF_UI]" with a render mode of ScreenSpaceOverlay is being used while VR is also enabled. This Canvas will continue to incur a rendering cost but will not be visible while in VR. Is this intentional?,
5.502158,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,UnityEngine.Debug:Log (object).  UXF.Utilities:UXFDebugLog (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:13).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:348).  UXF.UI.UIController/<>c__DisplayClass43_0:<TryBeginSessionFromUISequence>b__2 () (at Assets/UXF/Scripts/UI/UIController.cs:429).  UXF.UI.PopupController:OkPress () (at Assets/UXF/Scripts/UI/PopupController.cs:32).  UnityEngine.XR.Interaction.Toolkit.UI.UIInputModule:Update () (at ./Library/PackageCache/com.unity.xr.interaction.toolkit@2.3.2/Runtime/UI/UIInputModule.cs:133).  
5.502158,Log,The experiment is being run in VR,UnityEngine.Debug:Log (object).  ExperimentController:SessionBegin (UXF.Session) (at Assets/Scripts/Core/ExperimentController.cs:159).  UnityEngine.Events.UnityEvent`1<UXF.Session>:Invoke (UXF.Session).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:351).  UXF.UI.UIController/<>c__DisplayClass43_0:<TryBeginSessionFromUISequence>b__2 () (at Assets/UXF/Scripts/UI/UIController.cs:429).  UXF.UI.PopupController:OkPress () (at Assets/UXF/Scripts/UI/PopupController.cs:32).  UnityEngine.XR.Interaction.Toolkit.UI.UIInputModule:Update () (at ./Library/PackageCache/com.unity.xr.interaction.toolkit@2.3.2/Runtime/UI/UIInputModule.cs:133).  
5.502158,Log,Input device set as vr_controller,UnityEngine.Debug:Log (object).  ExperimentController:TrialBegin () (at Assets/Scripts/Core/ExperimentController.cs:247).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:129).  ExperimentController:BeginNextTrial () (at Assets/Scripts/Core/ExperimentController.cs:216).  ExperimentController:SessionBegin (UXF.Session) (at Assets/Scripts/Core/ExperimentController.cs:188).  UnityEngine.Events.UnityEvent`1<UXF.Session>:Invoke (UXF.Session).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:351).  UXF.UI.UIController/<>c__DisplayClass43_0:<TryBeginSessionFromUISequence>b__2 () (at Assets/UXF/Scripts/UI/UIController.cs:429).  UXF.UI.PopupController:OkPress () (at Assets/UXF/Scripts/UI/PopupController.cs:32).  UnityEngine.XR.Interaction.Toolkit.UI.UIInputModule:Update () (at ./Library/PackageCache/com.unity.xr.interaction.toolkit@2.3.2/Runtime/UI/UIInputModule.cs:133).  
5.502158,Log,OculusTouchControllerOpenXR could not be found trying again,UnityEngine.Debug:Log (object).  InputHandler/<FindAndSetDevice>d__45:MoveNext () (at Assets/Scripts/Core/InputHandler.cs:586).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  InputHandler:UseThisDevice (string) (at Assets/Scripts/Core/InputHandler.cs:543).  ExperimentController:TrialBegin () (at Assets/Scripts/Core/ExperimentController.cs:248).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:129).  ExperimentController:BeginNextTrial () (at Assets/Scripts/Core/ExperimentController.cs:216).  ExperimentController:SessionBegin (UXF.Session) (at Assets/Scripts/Core/ExperimentController.cs:188).  UnityEngine.Events.UnityEvent`1<UXF.Session>:Invoke (UXF.Session).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:351).  UXF.UI.UIController/<>c__DisplayClass43_0:<TryBeginSessionFromUISequence>b__2 () (at Assets/UXF/Scripts/UI/UIController.cs:429).  UXF.UI.PopupController:OkPress () (at Assets/UXF/Scripts/UI/PopupController.cs:32).  UnityEngine.XR.Interaction.Toolkit.UI.UIInputModule:Update () (at ./Library/PackageCache/com.unity.xr.interaction.toolkit@2.3.2/Runtime/UI/UIInputModule.cs:133).  
5.502158,Log,Setting VR position,UnityEngine.Debug:Log (object).  BaseTask:SetUp () (at Assets/Scripts/Core/BaseTask.cs:180).  ProjectileTask:SetUp () (at Assets/Scripts/Tasks/ProjectileTask.cs:260).  ExperimentController:TrialBegin () (at Assets/Scripts/Core/ExperimentController.cs:255).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:129).  ExperimentController:BeginNextTrial () (at Assets/Scripts/Core/ExperimentController.cs:216).  ExperimentController:SessionBegin (UXF.Session) (at Assets/Scripts/Core/ExperimentController.cs:188).  UnityEngine.Events.UnityEvent`1<UXF.Session>:Invoke (UXF.Session).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:351).  UXF.UI.UIController/<>c__DisplayClass43_0:<TryBeginSessionFromUISequence>b__2 () (at Assets/UXF/Scripts/UI/UIController.cs:429).  UXF.UI.PopupController:OkPress () (at Assets/UXF/Scripts/UI/PopupController.cs:32).  UnityEngine.XR.Interaction.Toolkit.UI.UIInputModule:Update () (at ./Library/PackageCache/com.unity.xr.interaction.toolkit@2.3.2/Runtime/UI/UIInputModule.cs:133).  
5.502158,Log,Setting VR to (0.00 0.40 -0.50),UnityEngine.Debug:Log (object).  ExperimentController:CenterOVRPlayerController () (at Assets/Scripts/Core/ExperimentController.cs:198).  ExperimentController:TrialBegin () (at Assets/Scripts/Core/ExperimentController.cs:262).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:129).  ExperimentController:BeginNextTrial () (at Assets/Scripts/Core/ExperimentController.cs:216).  ExperimentController:SessionBegin (UXF.Session) (at Assets/Scripts/Core/ExperimentController.cs:188).  UnityEngine.Events.UnityEvent`1<UXF.Session>:Invoke (UXF.Session).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:351).  UXF.UI.UIController/<>c__DisplayClass43_0:<TryBeginSessionFromUISequence>b__2 () (at Assets/UXF/Scripts/UI/UIController.cs:429).  UXF.UI.PopupController:OkPress () (at Assets/UXF/Scripts/UI/PopupController.cs:32).  UnityEngine.XR.Interaction.Toolkit.UI.UIInputModule:Update () (at ./Library/PackageCache/com.unity.xr.interaction.toolkit@2.3.2/Runtime/UI/UIInputModule.cs:133).  
9.316923,Log,Button held,UnityEngine.Debug:Log (object).  ProjectileTask:Update () (at Assets/Scripts/Tasks/ProjectileTask.cs:111).  
9.374347,Log,Launch time 0.05742359,UnityEngine.Debug:Log (object).  ProjectileTask:Update () (at Assets/Scripts/Tasks/ProjectileTask.cs:143).  
9.374347,Log,Launch vector (0.33 0.12 0.94),UnityEngine.Debug:Log (object).  ProjectileTask:Update () (at Assets/Scripts/Tasks/ProjectileTask.cs:144).  
9.374347,Log,Launch force (1.15 0.00 3.26),UnityEngine.Debug:Log (object).  ProjectileTask:Update () (at Assets/Scripts/Tasks/ProjectileTask.cs:166).  
9.374347,Log,Launch mag 3.459301,UnityEngine.Debug:Log (object).  ProjectileTask:Update () (at Assets/Scripts/Tasks/ProjectileTask.cs:167).  
9.766432,Log,Target hit,UnityEngine.Debug:Log (object).  ProjectileTask/<DisplayMessage>d__28:MoveNext () (at Assets/Scripts/Tasks/ProjectileTask.cs:244).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  ProjectileTask:Update () (at Assets/Scripts/Tasks/ProjectileTask.cs:192).  
11.30149,Warning,Setting linear velocity of a kinematic body is not supported.,UnityEngine.Rigidbody:set_velocity (UnityEngine.Vector3).  ProjectileTask:TaskBegin () (at Assets/Scripts/Tasks/ProjectileTask.cs:305).  ExperimentController:TrialBegin () (at Assets/Scripts/Core/ExperimentController.cs:258).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:129).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:429).  UXF.Session:BeginNextTrialSafe () (at Assets/UXF/Scripts/Session.cs:439).  ExperimentController:BeginNextTrial () (at Assets/Scripts/Core/ExperimentController.cs:221).  ExperimentController:TrialEnd () (at Assets/Scripts/Core/ExperimentController.cs:301).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:End () (at Assets/UXF/Scripts/Etc/Trial.cs:146).  UXF.Session:EndCurrentTrial () (at Assets/UXF/Scripts/Session.cs:421).  ExperimentController:Update () (at Assets/Scripts/Core/ExperimentController.cs:72).  
11.30149,Warning,Setting angular velocity of a kinematic body is not supported.,UnityEngine.Rigidbody:set_angularVelocity (UnityEngine.Vector3).  ProjectileTask:TaskBegin () (at Assets/Scripts/Tasks/ProjectileTask.cs:306).  ExperimentController:TrialBegin () (at Assets/Scripts/Core/ExperimentController.cs:258).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:129).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:429).  UXF.Session:BeginNextTrialSafe () (at Assets/UXF/Scripts/Session.cs:439).  ExperimentController:BeginNextTrial () (at Assets/Scripts/Core/ExperimentController.cs:221).  ExperimentController:TrialEnd () (at Assets/Scripts/Core/ExperimentController.cs:301).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:End () (at Assets/UXF/Scripts/Etc/Trial.cs:146).  UXF.Session:EndCurrentTrial () (at Assets/UXF/Scripts/Session.cs:421).  ExperimentController:Update () (at Assets/Scripts/Core/ExperimentController.cs:72).  
11.85937,Log,Button held,UnityEngine.Debug:Log (object).  ProjectileTask:Update () (at Assets/Scripts/Tasks/ProjectileTask.cs:111).  
11.94274,Log,Launch time 0.08336163,UnityEngine.Debug:Log (object).  ProjectileTask:Update () (at Assets/Scripts/Tasks/ProjectileTask.cs:143).  
11.94274,Log,Launch vector (0.26 0.12 0.96),UnityEngine.Debug:Log (object).  ProjectileTask:Update () (at Assets/Scripts/Tasks/ProjectileTask.cs:144).  
11.94274,Log,Launch force (0.61 0.00 2.30),UnityEngine.Debug:Log (object).  ProjectileTask:Update () (at Assets/Scripts/Tasks/ProjectileTask.cs:166).  
11.94274,Log,Launch mag 2.380963,UnityEngine.Debug:Log (object).  ProjectileTask:Update () (at Assets/Scripts/Tasks/ProjectileTask.cs:167).  
