experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,hand,target_hit,type,target_position,target_angle,launch_direction,launch_angle,launch_angle_error
projectile_experiment ,0000,1,1,1,1,5.502158,11.30149,r,True,projectile,(0.00_ -0.06_ 1.04),0,(0.33_ 0.12_ 0.94),20.46379,20.46379
projectile_experiment ,0000,1,2,1,2,11.30149,14.0324,r,False,projectile,(0.00_ -0.06_ 1.04),0,(0.26_ 0.12_ 0.96),16.4618,16.4618
projectile_experiment ,0000,1,3,1,3,14.0324,16.56588,r,False,projectile,(0.00_ -0.06_ 1.04),0,(0.45_ 0.14_ 0.88),28.21937,28.21937
projectile_experiment ,0000,1,4,1,4,16.56588,19.26639,r,False,projectile,(0.00_ -0.06_ 1.04),0,(0.35_ 0.15_ 0.93),22.13347,22.13347
projectile_experiment ,0000,1,5,1,5,19.26639,22.5472,r,False,projectile,(0.00_ -0.06_ 1.04),0,(0.02_ 0.03_ 1.00),2.310375,2.310375
projectile_experiment ,0000,1,6,1,6,22.5472,25.08606,r,True,projectile,(0.00_ -0.06_ 1.04),0,(0.32_ 0.29_ 0.90),25.40201,25.40201
projectile_experiment ,0000,1,7,2,1,25.08606,27.5071,r,True,projectile,(0.00_ -0.06_ 1.04),0,(0.09_ 0.17_ 0.98),11.2257,11.2257
projectile_experiment ,0000,1,8,2,2,27.5071,30.01373,r,True,projectile,(0.00_ -0.06_ 1.04),0,(0.15_ 0.15_ 0.98),12.25588,12.25588
projectile_experiment ,0000,1,9,2,3,30.01373,32.43058,r,True,projectile,(0.00_ -0.06_ 1.04),0,(0.03_ 0.06_ 1.00),3.925606,3.925606
projectile_experiment ,0000,1,10,2,4,32.43058,34.91422,r,False,projectile,(0.00_ -0.06_ 1.04),0,(0.02_ 0.13_ 0.99),7.585299,7.585299
projectile_experiment ,0000,1,11,2,5,34.91422,35.47479,,,,,,,,
