experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,hand,target_hit,type,target_position,target_angle,launch_direction,water_current_x,water_current_z,launch_angle,launch_angle_error,ball_pos_x,ball_pos_z,ball_time,distance_from_target,total_score,step_0_time,step_1_time,step_2_time
projectile_experiment ,123,1,1,1,1,1.797696,7.8386,r,True,projectile,(0.00_ -0.08_ 1.15),0,(0.07_ 0.23_ 0.97),0,0,13.70997,13.70997,0.004697_0.007045_0.009394_0.014091_0.016439_0.021136_0.023139_0.024821_0.028176_0.029854_0.033209_0.034886_0.036564_0.039919_0.041596_0.043274_0.046629_0.048306_0.051661_0.053339_0.055016_0.058371_0.060049_0.063404_0.065081_0.066759_0.070114_0.071791_0.073469,0.069375_0.104062_0.138749_0.208124_0.242811_0.312185_0.341758_0.366614_0.416168_0.440944_0.490498_0.515274_0.540051_0.589604_0.614381_0.639157_0.688711_0.713487_0.763041_0.787817_0.812594_0.862147_0.886924_0.936477_0.961254_0.986030_1.035583_1.060360_1.085137,5.930968_5.944510_5.958491_5.972532_5.986411_6.000455_6.014421_6.028617_6.042430_6.056129_6.070040_6.084246_6.098346_6.113363_6.126109_6.139942_6.153881_6.167742_6.181519_6.195592_6.209440_6.223490_6.237517_6.251194_6.265096_6.279094_6.293095_6.307053_6.321115,0.122352,5,5.875188,5.92,6.321115
projectile_experiment ,123,1,2,1,2,7.8386,10.74859,r,True,projectile,(-0.20_ -0.08_ 1.15),-10,(-0.12_ 0.17_ 0.98),0,0,11.96421,1.964214,-0.002737_-0.008211_-0.010948_-0.013685_-0.019158_-0.021895_-0.026726_-0.028682_-0.030637_-0.034547_-0.036502_-0.038457_-0.042367_-0.044322_-0.048232_-0.050187_-0.052142_-0.056052_-0.058007_-0.061916_-0.063871_-0.065826_-0.069736_-0.071691_-0.075601_-0.077556_-0.079511_-0.083421_-0.085376_-0.089285_-0.091240_-0.093195_-0.097105_-0.099060_-0.101015_-0.104925_-0.106880_-0.110790_-0.112745_-0.114700_-0.118610_-0.120564_-0.124474_-0.126429_-0.128384_-0.132294_-0.134249_-0.136204,0.021657_0.064970_0.086627_0.108283_0.151597_0.173253_0.211481_0.226959_0.242428_0.273366_0.288835_0.304304_0.335242_0.350711_0.381649_0.397118_0.412587_0.443525_0.458994_0.489933_0.505402_0.520871_0.551809_0.567278_0.598216_0.613685_0.629154_0.660092_0.675561_0.706499_0.721968_0.737437_0.768375_0.783844_0.799314_0.830252_0.845721_0.876659_0.892128_0.907597_0.938535_0.954004_0.984942_1.000411_1.015880_1.046819_1.062288_1.077757,8.576483_8.590670_8.604395_8.619134_8.632070_8.646144_8.660094_8.673837_8.687841_8.701688_8.715667_8.729588_8.743585_8.757350_8.771611_8.785539_8.799189_8.812955_8.827166_8.840787_8.854806_8.868770_8.882657_8.896531_8.910496_8.924376_8.938214_8.952180_8.966215_8.980092_8.993999_9.007938_9.021808_9.035744_9.049876_9.063584_9.077538_9.091342_9.105410_9.119346_9.133252_9.147122_9.161018_9.174866_9.188882_9.203195_9.217210_9.230828,0.123165,10,8.506759,8.57,9.230828
projectile_experiment ,123,1,3,1,3,10.74859,13.13037,r,False,projectile,(0.00_ -0.08_ 1.15),0,(0.36_ 0.12_ 0.93),0,0,22.25087,22.25087,0.026086_0.039129_0.052172_0.078258_0.091301_0.117388_0.128581_0.138068_0.156702_0.166019_0.184652_0.193968_0.203284_0.221917_0.231234_0.249867_0.259183_0.268500_0.287133_0.296449_0.315082_0.324399_0.333715_0.352348_0.361665_0.370981_0.389614_0.398930_0.417563,0.067416_0.101124_0.134832_0.202248_0.235956_0.303371_0.332299_0.356817_0.404974_0.429051_0.477206_0.501283_0.525360_0.573514_0.597591_0.645745_0.669822_0.693900_0.742054_0.766131_0.814285_0.838362_0.862439_0.910594_0.934671_0.958748_1.006902_1.030979_1.079133,11.221680_11.235540_11.249460_11.263660_11.277440_11.291290_11.305320_11.319110_11.334000_11.347070_11.360830_11.374850_11.388750_11.402690_11.416640_11.430450_11.444590_11.458360_11.472310_11.486170_11.500370_11.514100_11.527960_11.541870_11.555950_11.569670_11.583820_11.597590_11.611650,0.429877,10,11.16607,11.21,11.61165
projectile_experiment ,123,1,4,1,4,13.13037,29.33416,r,False,projectile,(-0.20_ -0.08_ 1.15),-10,(0.00_ 0.00_ 0.00),0,0,0,-10,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000,27.705090_27.718950_27.732890_27.746660_27.760480_27.774190_27.788230_27.802200_27.816140,1.173862,10,27.69118,27.7,27.81614
projectile_experiment ,123,1,5,1,5,29.33416,32.04909,r,True,projectile,(0.20_ -0.08_ 1.15),10,(0.13_ 0.47_ 0.87),0,0,29.40417,19.40417,0.005375_0.008063_0.010751_0.016126_0.018814_0.024189_0.026131_0.028051_0.031890_0.033810_0.037650_0.039569_0.041489_0.045329_0.047248_0.051088_0.053008_0.054928_0.058767_0.060687_0.062607_0.066446_0.068366_0.072205_0.074125_0.076045_0.079885_0.081804_0.085644_0.087564_0.089483_0.093323_0.095243_0.099082_0.101002_0.102922_0.106761_0.108681_0.112521_0.114441_0.116360_0.120200_0.122120_0.124039_0.127879_0.129799_0.133638_0.135558_0.137478_0.141317_0.143237_0.147077_0.148997_0.150916_0.154756_0.156676_0.158595,0.036537_0.054806_0.073075_0.109612_0.127881_0.164418_0.177616_0.190666_0.216764_0.229813_0.255911_0.268960_0.282010_0.308108_0.321157_0.347255_0.360304_0.373353_0.399451_0.412500_0.425549_0.451647_0.464696_0.490795_0.503844_0.516893_0.542991_0.556040_0.582138_0.595187_0.608236_0.634334_0.647383_0.673482_0.686531_0.699580_0.725678_0.738727_0.764825_0.777874_0.790923_0.817021_0.830070_0.843119_0.869218_0.882267_0.908365_0.921414_0.934463_0.960561_0.973610_0.999708_1.012757_1.025806_1.051905_1.064954_1.078003,29.752360_29.765060_29.779290_29.792950_29.806830_29.820640_29.834660_29.848590_29.862460_29.876500_29.890340_29.904280_29.918130_29.932030_29.946040_29.960830_29.973920_29.987730_30.001710_30.015550_30.029510_30.043540_30.057490_30.071250_30.085230_30.099270_30.113140_30.127250_30.141040_30.154880_30.168810_30.182770_30.196690_30.210590_30.224460_30.238660_30.252440_30.266350_30.280180_30.294010_30.308060_30.321910_30.335900_30.349990_30.364000_30.378120_30.391960_30.406090_30.419960_30.433990_30.447860_30.462200_30.475960_30.489830_30.503760_30.517740_30.531720,0.112341,15,29.65416,29.74,30.53172
projectile_experiment ,123,1,6,1,6,32.04909,34.66782,r,False,projectile,(0.20_ -0.08_ 1.15),10,(0.31_ 0.25_ 0.92),0,0,23.73859,13.73859,0.007518_0.022555_0.030074_0.045110_0.052629_0.060147_0.073519_0.078893_0.084264_0.095004_0.100375_0.111115_0.116486_0.121856_0.132596_0.137967_0.148707_0.154078_0.159448_0.170188_0.175559_0.186299_0.191670_0.197040_0.207780_0.213151_0.223891_0.229262_0.234632_0.245372_0.250743_0.256113_0.266854_0.272224_0.282964_0.288335_0.293705_0.304446_0.309816_0.320557_0.325927_0.331297_0.342038_0.347408_0.358149_0.363519_0.368889,0.021895_0.065684_0.087578_0.131367_0.153262_0.175157_0.214098_0.229748_0.245387_0.276665_0.292304_0.323582_0.339221_0.354860_0.386138_0.401777_0.433054_0.448693_0.464332_0.495610_0.511249_0.542527_0.558166_0.573805_0.605083_0.620722_0.652000_0.667639_0.683278_0.714556_0.730195_0.745834_0.777111_0.792750_0.824028_0.839667_0.855306_0.886584_0.902223_0.933501_0.949140_0.964779_0.996057_1.011696_1.042974_1.058612_1.074251,32.508370_32.522200_32.536140_32.550100_32.564080_32.577810_32.591760_32.605860_32.619630_32.633610_32.647560_32.661490_32.676130_32.689260_32.703190_32.717120_32.731070_32.744920_32.758860_32.772790_32.786790_32.800660_32.814550_32.828520_32.842530_32.856380_32.870240_32.884090_32.897990_32.911930_32.925820_32.939680_32.953590_32.967730_32.981520_32.995540_33.009530_33.023580_33.037710_33.051620_33.065890_33.079570_33.093410_33.107490_33.121380_33.135370_33.149350,0.196341,16,32.42474,32.5,33.14935
projectile_experiment ,123,1,7,2,1,34.66782,37.26988,r,False,projectile,(-0.20_ -0.08_ 1.15),-10,(-0.43_ 0.48_ 0.76),0,0,40.24481,30.24481,-0.027156_-0.040735_-0.054313_-0.081469_-0.095048_-0.122204_-0.133266_-0.142975_-0.162373_-0.172072_-0.191469_-0.201168_-0.210867_-0.230264_-0.239963_-0.259360_-0.269059_-0.278758_-0.298155_-0.307854_-0.317553_-0.336950_-0.346649_-0.366046_-0.375745_-0.385444_-0.404841_-0.414540_-0.433938_-0.443636_-0.453335_-0.472733_-0.482431_-0.501829_-0.511528_-0.521226_-0.540624_-0.550323_-0.569720_-0.579419_-0.589118_-0.608515,0.048190_0.072285_0.096380_0.144570_0.168665_0.216855_0.236485_0.253715_0.288136_0.305347_0.339769_0.356979_0.374190_0.408612_0.425822_0.460244_0.477455_0.494665_0.529087_0.546298_0.563508_0.597930_0.615140_0.649562_0.666773_0.683983_0.718405_0.735616_0.770037_0.787248_0.804458_0.838880_0.856091_0.890512_0.907723_0.924933_0.959355_0.976566_1.010987_1.028198_1.045408_1.079830,35.182100_35.195510_35.209210_35.223250_35.237190_35.250870_35.264910_35.278790_35.292710_35.306550_35.320640_35.334510_35.348420_35.362510_35.376260_35.390920_35.404240_35.418070_35.432110_35.445910_35.459870_35.473840_35.487640_35.501760_35.515650_35.529340_35.543220_35.557190_35.571220_35.585050_35.599290_35.612950_35.626780_35.640900_35.654630_35.668670_35.682500_35.696400_35.710320_35.724290_35.738220_35.752130,0.417593,16,35.12565,35.17,35.75213
projectile_experiment ,123,1,8,2,2,37.26988,40.09605,r,True,projectile,(0.00_ -0.08_ 1.15),0,(0.01_ 0.44_ 0.90),0,0,26.3453,26.3453,0.000119_0.000357_0.000476_0.000595_0.000833_0.000952_0.001157_0.001242_0.001327_0.001497_0.001582_0.001752_0.001837_0.001922_0.002092_0.002177_0.002347_0.002432_0.002517_0.002687_0.002772_0.002857_0.003027_0.003112_0.003282_0.003367_0.003452_0.003622_0.003707_0.003877_0.003962_0.004047_0.004217_0.004302_0.004472_0.004557_0.004642_0.004812_0.004897_0.005067_0.005152_0.005237_0.005407_0.005492_0.005577_0.005748_0.005833_0.006003_0.006088_0.006173_0.006343_0.006428_0.006598_0.006683_0.006768_0.006938_0.007023_0.007193_0.007278_0.007363_0.007533_0.007618_0.007788_0.007873_0.007958,0.015952_0.047857_0.063809_0.079761_0.111666_0.127618_0.155001_0.166396_0.177790_0.200579_0.211973_0.234762_0.246157_0.257551_0.280340_0.291735_0.314523_0.325918_0.337312_0.360101_0.371496_0.382890_0.405679_0.417073_0.439862_0.451257_0.462651_0.485440_0.496835_0.519623_0.531018_0.542412_0.565201_0.576596_0.599384_0.610779_0.622173_0.644962_0.656357_0.679146_0.690540_0.701935_0.724724_0.736118_0.747513_0.770302_0.781696_0.804485_0.815880_0.827274_0.850063_0.861458_0.884247_0.895641_0.907036_0.929825_0.941219_0.964008_0.975403_0.986797_1.009586_1.020981_1.043770_1.055164_1.066559,37.688330_37.701700_37.715610_37.729400_37.743260_37.756890_37.770890_37.784750_37.798750_37.812770_37.826640_37.840570_37.854450_37.868430_37.882350_37.896940_37.910280_37.924040_37.937980_37.951900_37.965870_37.979720_37.993770_38.007690_38.021500_38.035530_38.049300_38.063210_38.077240_38.091230_38.105140_38.119140_38.132910_38.146830_38.160770_38.174700_38.188740_38.202510_38.216560_38.230510_38.244460_38.258580_38.272510_38.286310_38.299950_38.314050_38.328000_38.341820_38.355980_38.369940_38.384020_38.397800_38.411750_38.425740_38.439690_38.453700_38.467730_38.481730_38.495660_38.509690_38.523650_38.537660_38.551600_38.565640_38.579760,0.11198,21,37.59012,37.68,38.57976
projectile_experiment ,123,1,9,2,3,40.09605,42.75652,r,False,projectile,(0.20_ -0.08_ 1.15),10,(-0.15_ 0.15_ 0.98),0,0,12.30634,2.306341,-0.004253_-0.012759_-0.017012_-0.021265_-0.029771_-0.034024_-0.041755_-0.044796_-0.047834_-0.053910_-0.056948_-0.059986_-0.066061_-0.069099_-0.075175_-0.078213_-0.081251_-0.087326_-0.090364_-0.096440_-0.099478_-0.102516_-0.108591_-0.111629_-0.117705_-0.120743_-0.123780_-0.129856_-0.132894_-0.138970_-0.142007_-0.145045_-0.151121_-0.154159_-0.157197_-0.163272_-0.166310,0.027812_0.083437_0.111249_0.139062_0.194686_0.222498_0.273056_0.292945_0.312811_0.352543_0.372409_0.392275_0.432007_0.451872_0.491604_0.511470_0.531336_0.571068_0.590934_0.630666_0.650532_0.670398_0.710130_0.729995_0.769727_0.789593_0.809459_0.849191_0.869057_0.908789_0.928655_0.948521_0.988253_1.008119_1.027984_1.067716_1.087582,40.736530_40.750320_40.764220_40.778260_40.792280_40.806080_40.820930_40.833870_40.847860_40.861910_40.875760_40.889440_40.903390_40.917590_40.931320_40.945160_40.959120_40.973090_40.987090_41.000980_41.014900_41.028810_41.042790_41.056610_41.070480_41.084260_41.098130_41.112140_41.126080_41.140070_41.153930_41.167830_41.181880_41.195860_41.209750_41.223700_41.237830,0.382083,21,40.66677,40.73,41.23783
projectile_experiment ,123,1,10,2,4,42.75652,47.16811,r,False,projectile,(0.20_ -0.08_ 1.15),10,(-0.05_ 0.26_ 0.96),0,0,15.41935,5.419353,-0.001543_-0.003086_-0.006173_-0.007716_-0.010802_-0.012345_-0.013888_-0.016245_-0.017347_-0.019552_-0.020654_-0.021757_-0.023961_-0.025063_-0.027268_-0.028370_-0.029472_-0.031677_-0.032779_-0.034984_-0.036086_-0.037188_-0.039393_-0.040495_-0.042699_-0.043802_-0.044904_-0.047108_-0.048211_-0.049313_-0.051517_-0.052620_-0.054824_-0.055926_-0.057029_-0.059233_-0.060336_-0.061438,0.027246_0.054492_0.108985_0.136231_0.190723_0.217969_0.245216_0.286827_0.306289_0.345212_0.364673_0.384135_0.423058_0.442519_0.481442_0.500904_0.520366_0.559289_0.578750_0.617673_0.637135_0.656597_0.695520_0.714981_0.753904_0.773366_0.792828_0.831751_0.851212_0.870674_0.909597_0.929059_0.967982_0.987443_1.006905_1.045828_1.065289_1.084751,45.135820_45.149710_45.163750_45.177670_45.191700_45.206500_45.219740_45.233490_45.247460_45.260990_45.275050_45.288830_45.302910_45.316850_45.330810_45.344640_45.358560_45.372380_45.386340_45.400330_45.414420_45.428140_45.442080_45.456120_45.470050_45.483990_45.497880_45.511860_45.525750_45.539610_45.553600_45.567540_45.581540_45.595420_45.609370_45.623480_45.637170_45.650970,0.282503,21,45.06631,45.13,45.65097
